id_questao;id_modulo;grupo;numero;dificuldade;enunciado;alternativa_correta;alternativa_a;alternativa_b;alternativa_c;alternativa_C;imagem
1;1;1;1;fácil;A chamada “crise do software” foi um dos fatores que impulsionaram o surgimento das metodologias ágeis. Qual problema estava fortemente associado a essa crise?;b;Excesso de linguagens de programação;ificuldade em lidar com mudanças frequentes de requisitos;Uso insuficiente de hardware moderno;Falta de padronização de bancos de dados;NULL
2;1;1;2;fácil;As metodologias ágeis diferenciam-se dos modelos tradicionais principalmente pela forma como o software é entregue. Qual alternativa representa essa diferença?;b;Entrega única ao final do projeto;Entregas frequentes e incrementais;Documentação extensa antes da codificação;Fases rígidas e sequenciais;NULL
3;1;1;3;fácil;O Manifesto Ágil apresenta valores fundamentais para o desenvolvimento de software. Qual alternativa corresponde corretamente a um desses valores?;c;Processos e ferramentas mais que indivíduos;Seguir um plano mais que responder a mudanças;Indivíduos e interações mais que processos e ferramentas;Documentação mais que software funcionando;NULL
4;1;1;4;média;O Manifesto Ágil é composto por valores e princípios. Quantos princípios fazem parte do Manifesto Ágil?;d;4;8;10;12;NULL
5;1;1;5;média;Em metodologias ágeis, o conceito de iteração é central. O que caracteriza uma iteração?;b;Um longo período sem entregas;Um ciclo curto que gera parte funcional do produto;Uma fase exclusivamente de testes;Um documento de planejamento detalhado;NULL
6;1;1;6;média;Observe o diagrama abaixo, que representa um ciclo de vida de desenvolvimento de software. Uma equipe de desenvolvimento entrega versões funcionais do software em intervalos curtos (semanas) e utiliza o feedback constante do cliente para realizar ajustes e melhorias no produto final. Com base na imagem e na descrição, esse comportamento é característico de qual abordagem?;b;Modelo em Cascata, pois foca em fases sequenciais onde o cliente só vê o produto no final;Desenvolvimento Ágil, pois prioriza a entrega contínua de valor e a resposta rápida a mudanças;Modelo em V, pois estabelece uma relação rígida e simétrica entre as fases de teste e desenvolvimento;Desenvolvimento Orientado a Documentação, pois exige que todos os requisitos sejam congelados antes do início do código;questao_6.png
7;1;1;7;média;Nas metodologias ágeis, mudanças de requisitos ao longo do projeto são vistas como:;c;Erros de planejamento;Falhas de comunicação;Oportunidades de agregar valor;Problemas que devem ser evitados;NULL
8;1;1;8;difícil;Observe a imagem abaixo que resume os quatro pilares fundamentais do Manifesto para Desenvolvimento Ágil de Software. O Manifesto Ágil afirma explicitamente que, embora haja valor nos itens descritos à direita, valoriza-se mais os itens listados à esquerda. Considerando essa filosofia, a interpretação correta dessa afirmação é:;c;Processos e ferramentas devem ser abandonados para evitar burocracia;Itens como documentação e planejamento perdem sua razão de existir em projetos modernos;A agilidade foca na priorização de interações e entrega de valor, sem ignorar a necessidade de suporte dos itens da direita;O sucesso de um projeto depende exclusivamente das pessoas, tornando os contratos e planos irrelevantes;questao_8.png
9;1;1;9;difícil;Uma equipe afirma seguir metodologias ágeis, mas evita qualquer mudança após o início do projeto. Essa postura indica:;b;Boa aplicação dos princípios ágeis;Uma interpretação incorreta da agilidade;Um benefício das metodologias ágeis;Um exemplo de maturidade ágil;NULL
10;1;1;10;difícil;Segundo os princípios ágeis, a principal medida de progresso de um projeto é:;c;O cumprimento do cronograma inicial;A quantidade de documentação produzida;O software funcionando e entregando valor;O número de reuniões realizadas;NULL
11;1;2;1;fácil;Em metodologias ágeis, o cliente é considerado:;c;Um fiscal do contrato;Um aprovador final;Um parceiro ativo no desenvolvimento;Um agente externo;NULL
12;1;2;2;fácil;Qual alternativa apresenta apenas metodologias ágeis?;a;Scrum, Kanban e XP;Cascata, Scrum e RUP;Espiral, V-Model e XP;RUP, Kanban e Cascata;NULL
13;1;2;3;fácil;As metodologias ágeis priorizam a entrega de:;c;Documentação detalhada;Código complexo;Valor ao cliente;Relatórios técnicos;NULL
14;1;2;4;média;Equipes auto-organizadas são um conceito importante nas metodologias ágeis. O que define esse tipo de equipe?;b;Ausência de liderança;Autonomia para decidir como executar o trabalho;Falta de planejamento;Dependência total da gerência;NULL
15;1;2;5;média;Um dos benefícios diretos das entregas incrementais é:;b;Eliminar a necessidade de testes;Reduzir riscos ao longo do projeto;Aumentar a documentação;Congelar os requisitos;NULL
16;1;2;6;média;A imagem abaixo apresenta dois artefatos do Scrum utilizados por uma equipe de desenvolvimento: um Product Backlog e um Sprint Backlog, organizados de forma visual para facilitar o entendimento do fluxo de trabalho. Com base na análise da imagem e nos conceitos do Scrum, assinale a alternativa correta.;b;O Product Backlog contém apenas os itens selecionados para a Sprint atual, enquanto o Sprint Backlog representa todas as funcionalidades do produto;O Sprint Backlog é um subconjunto do Product Backlog, contendo os itens escolhidos para serem trabalhados durante a Sprint;O Product Backlog é criado pelos Developers, enquanto o Sprint Backlog é mantido exclusivamente pelo Scrum Master;Os itens do Sprint Backlog permanecem inalterados e não possuem relação direta com o Product Backlog;questao_16.png
17;1;2;7;média;O feedback frequente é essencial nas metodologias ágeis porque:;b;Substitui o planejamento;Permite ajustes contínuos no produto;Evita a comunicação;Elimina mudanças;NULL
18;1;2;8;difícil;A afirmação “responder a mudanças mais que seguir um plano” indica que:;c;O planejamento é desnecessário;Mudanças devem ser evitadas;O plano pode e deve ser adaptado;Não deve existir planejamento;NULL
19;1;2;9;difícil;As metodologias ágeis são mais adequadas para projetos que:;c;Possuem requisitos totalmente estáveis;Não aceitam mudanças;Estão sujeitos a incertezas;Exigem documentação extensa;NULL
20;1;2;10;difícil;Um erro comum ao adotar agilidade é acreditar que ela elimina:;c;A necessidade de testes;A importância das pessoas;O planejamento contínuo;A entrega de valor;NULL
21;1;3;1;fácil;Em que ano o Manifesto Ágil foi publicado?;c;1998;1999;2001;2004;NULL
22;1;3;2;fácil;Qual é o principal foco das metodologias ágeis?;b;Cumprir rigorosamente o plano inicial;Entregar valor ao cliente;Produzir documentação detalhada;Evitar mudanças;NULL
23;1;3;3;fácil;Observe a imagem abaixo, que ilustra um ciclo iterativo de desenvolvimento de software, no qual o trabalho é organizado em períodos curtos e repetitivos. Em cada ciclo, a equipe realiza planejamento, desenvolvimento, testes e revisão, incorporando continuamente o feedback das partes interessadas para aprimorar o produto. Esse tipo de abordagem valoriza a adaptação a mudanças, a entrega contínua de valor e a colaboração constante com o cliente ao longo do processo de desenvolvimento. Com base na imagem e na descrição apresentada, qual das alternativas abaixo representa uma prática alinhada aos princípios da agilidade no desenvolvimento de software?;b;Testes apenas no final do projeto;Entregas frequentes de software funcional;Planejamento fixo e imutável desde o início;Desenvolvimento sem feedback do cliente;questao_23.png
24;1;3;4;média;A melhoria contínua nas metodologias ágeis está relacionada a:;c;Eliminar retrospectivas;Repetir sempre o mesmo processo;Refletir regularmente sobre a forma de trabalhar;Centralizar decisões;NULL
25;1;3;5;média;Qual característica diferencia fortemente métodos ágeis de tradicionais?;b;Uso de tecnologia moderna;Forma de lidar com mudanças;Quantidade de pessoas;Uso de bancos de dados;NULL
26;1;3;6;média;A entrega frequente de software funcional contribui principalmente para:;c;Aumentar a complexidade;Reduzir o envolvimento do cliente;Obter feedback rápido;Eliminar testes;NULL
27;1;3;7;média;O valor “software funcionando mais que documentação abrangente” indica que:;b;Documentação não é necessária;A prioridade é o produto utilizável;A documentação deve ser extensa;O código não precisa funcionar;NULL
28;1;3;8;difícil;Uma equipe entrega software frequentemente, mas ignora feedback do cliente. Essa situação contraria qual princípio ágil?;b;Entregas incrementais;Colaboração com o cliente;Simplicidade;Auto-organização;NULL
29;1;3;9;difícil;O conceito de “valor” em metodologias ágeis está mais relacionado a:;c;Quantidade de código;Complexidade técnica;Utilidade percebida pelo cliente;Tamanho da equipe;NULL
30;1;3;10;difícil;A principal diferença conceitual entre métodos tradicionais e ágeis está:;c;No uso de ferramentas;Na forma de organizar equipes;Na abordagem sobre pessoas, mudanças e entregas;Na ausência de processos;NULL
31;2;1;1;fácil;O Scrum é amplamente utilizado em projetos de desenvolvimento de software ágil. Qual alternativa define corretamente o Scrum?;b;Uma metodologia prescritiva com etapas fixas;Um framework para gerenciamento e desenvolvimento de produtos complexos;Um modelo tradicional de engenharia de software;Uma ferramenta de controle de tarefas;NULL
32;2;1;2;fácil;O Scrum baseia-se no conceito de empirismo. Quais são os três pilares do empirismo no Scrum?;b;Planejamento, execução e controle;Transparência, inspeção e adaptação;Escopo, prazo e custo;Comunicação, documentação e validação;NULL
33;2;1;3;fácil;No Scrum, os papéis são chamados atualmente de “accountabilities”. Qual alternativa apresenta corretamente os três papéis do Scrum?;b;Gerente de Projetos, Analista e Desenvolvedor;Product Owner, Scrum Master e Developers;Cliente, Gerente e Equipe Técnica;Líder Técnico, Testador e Cliente;NULL
34;2;1;4;média;O Product Owner é um papel central no Scrum. Qual é a principal responsabilidade do Product Owner?;c;Garantir que o Scrum seja seguido corretamente;Desenvolver o código do sistema;Maximizar o valor do produto resultante do trabalho do time;Controlar o tempo e o custo do projeto;NULL
35;2;1;5;média;O Product Backlog é um dos principais artefatos do Scrum. Qual alternativa descreve corretamente o Product Backlog?;c;Uma lista fixa de tarefas técnicas;Um conjunto imutável de requisitos;Uma lista ordenada de tudo o que é necessário no produto;Um cronograma detalhado do projeto;NULL
36;2;1;6;média;No Scrum, o Sprint Backlog é criado a partir do Product Backlog. O Sprint Backlog representa:;c;Todas as funcionalidades do produto;Apenas as tarefas técnicas da equipe;Os itens selecionados para a Sprint e o plano para entregá-los;O histórico completo do projeto;NULL
37;2;1;7;média;O Incremento é um artefato fundamental do Scrum. Qual definição melhor representa um Incremento?;c;Um relatório de progresso da Sprint;Uma versão parcial do código ainda não testada;Um conjunto de itens do Product Backlog concluídos e utilizáveis;Uma documentação técnica detalhada;NULL
38;2;1;8;difícil;No Scrum, cada artefato possui um compromisso associado. Qual alternativa associa corretamente o artefato ao seu compromisso?;c;Product Backlog – Definition of Done;Sprint Backlog – Product Goal;Incremento – Definition of Done;Sprint Backlog – Product Goal;NULL
39;2;1;9;difícil;O Scrum Master tem um papel específico dentro do time Scrum. Qual das situações abaixo caracteriza corretamente a atuação do Scrum Master?;c;Definir prioridades do Product Backlog;Distribuir tarefas para os Developers;Atuar como facilitador e remover impedimentos;Aprovar tecnicamente o código produzido;NULL
40;2;1;10;difícil;Uma equipe Scrum decide alterar a Definition of Done durante uma Sprint sem alinhamento. Essa situação indica:;b;Um comportamento esperado e recomendado;Uma violação do princípio de transparência;Um exemplo de adaptação correta;Um benefício do empirismo;NULL
41;2;2;1;fácil;Qual papel do Scrum é responsável por garantir que o framework seja compreendido e aplicado corretamente?;b;Product Owner;Scrum Master;Developer;Gerente de Projetos;NULL
42;2;2;2;fácil;O Scrum Team é composto por:;a;Product Owner, Scrum Master e Developers;Cliente, gerente e desenvolvedores;Apenas desenvolvedores;Product Owner e gerente;NULL
43;2;2;3;fácil;Qual artefato contém a visão de longo prazo do produto?;c;Sprint Backlog;Incremento;Product Backlog;Burndown Chart;NULL
44;2;2;4;média;A Definition of Done (DoD) tem como principal objetivo:;b;Definir prazos do projeto;Padronizar quando um incremento pode ser considerado concluído;Controlar custos da Sprint;Registrar falhas do sistema;NULL
45;2;2;5;média;Quem é responsável por criar e manter o Product Backlog?;c;Scrum Master;Developers;Product Owner;Cliente;NULL
46;2;2;6;média;Durante o refinamento do Product Backlog, normalmente ocorre:;b;Execução de testes finais;Detalhamento e reordenação dos itens;Aprovação formal do cliente;Encerramento da Sprint;NULL
47;2;2;7;média;No Scrum, os Developers são responsáveis por:;b;Apenas codificar funcionalidades;Planejar, construir e entregar o Incremento;Priorizar requisitos;Gerenciar o orçamento;NULL
48;2;2;8;difícil;Um Product Owner que não está disponível para o time compromete principalmente:;b;A auto-organização dos Developers;A transparência e a maximização de valor;A realização da Daily Scrum;O cumprimento do time-box;NULL
49;2;2;9;difícil;O Scrum não define cargos técnicos específicos (como analista ou testador) porque:;b;Essas funções não são necessárias;O Scrum foca em equipes multifuncionais;O Scrum elimina especializações;O Scrum substitui a engenharia de software;NULL
50;2;2;10;difícil;Quando o Product Backlog não está claramente ordenado, o principal impacto ocorre em:;b;Daily Scrum;Sprint Planning;Sprint Retrospective;Sprint Review;NULL
51;2;3;1;fácil;O Sprint Backlog é de responsabilidade de:;c;Product Owner;Scrum Master;Developers;Cliente;NULL
52;2;3;2;fácil;Qual artefato representa o resultado de uma Sprint?;c;Product Backlog;Sprint Backlog;Incremento;Roadmap;NULL
53;2;3;3;fácil;O Scrum recomenda que o time seja:;b;Grande e altamente especializado;Pequeno e multifuncional;Dividido por áreas técnicas;Hierarquicamente estruturado;NULL
54;2;3;4;média;Qual é a relação correta entre Product Goal e Product Backlog?;b;O Product Goal substitui o Product Backlog;O Product Backlog evolui para atender ao Product Goal;O Product Goal é definido pelos Developers;O Product Goal é opcional;NULL
55;2;3;5;média;O Sprint Goal serve principalmente para:;b;Medir desempenho individual;Guiar o trabalho da Sprint;Controlar custos;Documentar requisitos;NULL
56;2;3;6;média;Se a Definition of Done não existir ou não for clara, o principal risco é:;b;Atraso na Daily Scrum;Incrementos sem qualidade e inconsistentes;Falta de retrospectivas;Excesso de reuniões;NULL
57;2;3;7;média;Quem pode cancelar uma Sprint no Scrum?;c;Scrum Master;Developers;Product Owner;Cliente;NULL
58;2;3;8;difícil;Uma equipe que entrega funcionalidades “quase prontas” ao final da Sprint está violando principalmente:;c;O Sprint Goal;O Product Goal;A Definition of Done;O Sprint Backlog;NULL
59;2;3;9;difícil;No Scrum, a responsabilidade pela qualidade do Incremento é:;c;Exclusiva do Scrum Master;Exclusiva do Product Owner;Compartilhada por todo o Scrum Team;Apenas dos Developers;NULL
60;2;3;10;difícil;O Scrum evita a figura do gerente de projetos tradicional principalmente porque:;b;Não há planejamento no Scrum;O Scrum substitui gestão por auto-organização;Projetos ágeis não precisam de liderança;O Scrum elimina responsabilidades;NULL
